start_node,end_node,distance,route_id,route_short_name
stop1016,stop187,439,"route783, route105, route100, route146, route843, route95, route665, route79, route407, route78, route226, route154, route85, route91, route163, route601, route89, route114, route158, route13, route156, route153, route140, route139, route113, route14, route80, route90","Minibus 167, CTA 59, CTA 1012, CTA 1111, CTA 1097, CTA 24t, CTA 1010, CTA 1162, CTA 1001, CTA 1151, CTA 1130, CTA 24g, CTA 80s, CTA 727-1103, Microbus, CTA 1064, CTA 80, CTA 3g, CTA 132, CTA 1078, CTA 926-1126, CTA 1136, CTA 32, CTA 1029, CTA 1006, CTA 69, CTA 69ss"
stop1016,stop2724,1213,route143,Microbus
stop1016,stop64,1354,route141,Microbus
stop1017,stop2097,388,route483,CTA 580
stop1019,stop1268,1163,"route92, route586, route817, route102, route296, route549, route587, route605, route305, route94, route224, route236, route84, route297, route216, route582, route798, route298, route560, route722","CTA 925, CTA 366, CTA 38, Minibus 72, CTA 1033, CTA 366-1054, Minibus 47, Minibus 215, CTA 305-1104, CTA 970, CTA 971-1054, Minibus 321, Minibus 1, CTA 970-1051, Microbus, Minibus 225, CTA 1003, Minibus 3, Minibus 113, Minibus 159"
stop1019,stop2447,808,"route807, route245, route287, route811","Microbus, CTA 724, CTA 290"
stop1019,stop735,731,"route105, route187","CTA 914, CTA 727-1103"
stop1019,stop736,757,"route741, route607, route690","CTA 1005, CTA 1030, CTA 975"
stop102,stop953,402,route281,CTA 824
stop1020,stop835,606,"route92, route586, route105, route690, route811, route817, route102, route296, route741, route549, route187, route587, route202, route305, route94, route196, route224, route236, route84, route245, route297, route287, route308, route103, route216, route807, route582, route798, route298, route560, route722","CTA 914, CTA 925, CTA 366, CTA 1030, CTA 38, Minibus 72, CTA 1033, Minibus 142, CTA 366-1054, CTA 208, Minibus 215, CTA 305-1104, CTA 970, CTA 724, CTA 975, CTA 971-1054, Minibus 321, Minibus 1, CTA 727-1103, CTA 290, CTA 970-1051, Microbus, Minibus 225, CTA 1003, Minibus 3, CTA 8T, Minibus 113, Minibus 159"
stop1021,stop1354,449,route409,Microbus
stop1022,stop112,280,route516,CTA 1063
stop1023,stop112,184,"route576, route207, route508, route577, route503, route599, route501, route491, route469, route689, route192, route598","CTA 1123, CTA 1076, CTA 1117, CTA 43, CTA 91, CTA 1068, CTA 175-1125, Minibus 129, CTA 92-1050, CTA 190-1117, Minibus 21-255, CTA 1147"
stop1023,stop113,243,"route498, route371, route388","Microbus, CTA 1009"
stop1023,stop1354,606,route509,CTA 531
stop1023,stop297,662,"route466, route646, route463, route546, route176, route278, route504, route799, route464, route281, route550, route746","CTA 825-1073, Minibus 107, CTA 134, CTA 1144, Minibus 119, CTA 83, CTA 824, Minibus 90, Minibus 93, CTA 77, CTA 106-1069, CTA 1008"
stop1024,stop1354,273,"route511, route90, route577, route576","CTA 91, CTA 1123, Minibus, CTA 69"
stop1025,stop1354,283,"route463, route599, route689, route420, route598, route492, route281, route550, route746, route207, route489, route497, route465, route513, route192, route506, route464, route546, route113, route488, route176, route278, route799","CTA 134, CTA 1117, CTA 824, CTA 825-1073, CTA 1008, CTA 175-1125, CTA 92-1050, Minibus 93, CTA 190-1117, CTA 568, Minibus 119, Microbus, CTA 1064, CTA 77, Minibus 107, CTA 1144, CTA 83, CTA 1068, CTA 103-1094, CTA 104"
stop1027,stop133,224,"route463, route652, route802, route433, route267, route354, route203, route356, route161, route504, route170, route162, route746, route646, route505, route183, route547, route314, route514, route454, route651, route56, route464, route87, route644, route198, route357, route461, route313, route498, route791","CTA 134, CTA 430, Minibus 333, CTA 1069, Minibus 424, Minibus 90, CTA 825-1073, CTA 7, CTA 26t, Minibus 57, Minibus 78, Minibus 29, CTA 1009, Minibus 51, CTA 1028, CTA 306, CTA 666-1045, Microbus, CTA 46, Minibus 147, Minibus 211, CTA 945-1082, CTA 794, Minibus 107, CTA 17-17g-923, CTA 931, CTA 65, CTA 106-1069, CTA 995"
stop1027,stop1432,434,"route313, route272, route161, route267","Microbus, CTA 65"
stop1028,stop2718,766,"route313, route597, route267",Microbus
stop1029,stop250,927,route75,CTA 1025
stop103,stop2170,802,"route234, route233",Microbus
stop103,stop2472,804,"route168, route144, route100, route261, route225, route816, route812, route764, route258, route155, route650, route717, route693, route149, route360, route111, route800, route279, route358, route696, route97, route307, route348, route300, route211, route294, route254, route427, route647, route785, route836, route866, route329, route359, route75","Minibus 44, Minibus 40, Green G2, CTA 8s, CTA 170, CTA 987, CTA 1143, CTA 833, Minibus 302, CTA 900, CTA 1118, Green G1, CTA 1137, CTA 409-1089, Minibus 212, Minibus 50, CTA 1145, CTA 934-1071, Microbus, CTA 124, Minibus 500, CTA 507, CTA 1078, CTA 31s, Minibus 56, CTA 820, CTA 888, Masreya Ms4, Minibus 203, CTA 1025, CTA 2002, CTA 15"
stop103,stop2551,743,"route229, route485, route260, route277, route395","CTA 1128, CTA 154, Minibus 88, CTA 114-1060, CTA 160"
