route_id,route_short_name,direction_id,stops
route12,Microbus,1,"stop540, stop2274, stop832, stop565, stop1732, stop2199, stop1296, stop1822, stop2232, stop333"
route120,CTA 1022,0,"stop1770, stop767, stop2597, stop2655, stop2297, stop2172, stop469, stop440, stop1602, stop616, stop337, stop2279, stop856, stop1598, stop58, stop1307, stop1790, stop371, stop599, stop598, stop2663, stop1826, stop1335, stop2507, stop730, stop1589, stop342, stop273, stop2735, stop219, stop1515, stop1513, stop692, stop1727, stop1257, stop1540, stop1539, stop2234, stop2615, stop570, stop271, stop827, stop1137, stop980, stop1237, stop2595, stop1541, stop725, stop2265, stop1492, stop2174, stop1486"
route120,CTA 1022,1,"stop1947, stop1048, stop254, stop1856, stop261, stop1680, stop1467, stop1411, stop593, stop1849, stop1403, stop863, stop984, stop1408, stop693, stop2313, stop2355, stop1728, stop1832, stop1926, stop1326, stop1314, stop1590, stop729, stop2506, stop1336, stop1825, stop2662, stop597, stop600, stop1309, stop54, stop65, stop1293, stop1813, stop1597, stop855, stop2278, stop338, stop617, stop1601, stop439, stop468, stop2173, stop2298, stop2654, stop2598, stop766, stop1769, stop318, stop1364, stop2302, stop2703, stop53"
route121,Microbus,0,"stop53, stop587, stop2411, stop1306, stop922, stop1041, stop919, stop572, stop316, stop445, stop444, stop1790, stop371, stop599, stop598, stop2663, stop1826, stop1335, stop2507, stop730, stop1589, stop342, stop273, stop2320, stop1853, stop1833, stop2128, stop1693, stop2331, stop2381, stop1053, stop1199, stop2036, stop1495, stop1499"
route122,Microbus,0,"stop2035, stop1200, stop2581, stop2379, stop2333, stop1694, stop2127, stop1834, stop1852, stop2321, stop2322, stop1314, stop1590, stop729, stop2506, stop1336, stop1825, stop2662, stop597, stop600, stop370, stop1791, stop443, stop446, stop1040, stop921, stop1305, stop2410, stop586"
route123,Box,0,"stop825, stop420, stop1529"
route123,Box,1,"stop1530, stop419"
route124,Microbus,0,"stop1532, stop1851, stop1460, stop1847, stop2321, stop2322, stop1314, stop1590, stop729, stop2506, stop1336, stop1825, stop2662, stop597, stop600, stop370, stop1791, stop443, stop446, stop315, stop573, stop920, stop1040, stop921, stop1305, stop2410, stop586"
route124,Microbus,1,"stop587, stop2411, stop1306, stop922, stop1041, stop919, stop572, stop316, stop445, stop444, stop1790, stop371, stop599, stop598, stop2663, stop1826, stop1335, stop2507, stop730, stop1589, stop342, stop273, stop2320, stop1459, stop1850, stop1848"
route125,Tomnaya,0,"stop1599, stop855, stop2278, stop338, stop617, stop1601, stop439, stop468, stop2173, stop2298, stop2654, stop2598, stop766, stop1769, stop318, stop1364, stop2302, stop2703, stop53, stop1599, stop855, stop2278, stop338, stop617, stop1601, stop439, stop468, stop2173, stop2298, stop2654, stop2598, stop766, stop1769, stop318, stop1364, stop2302, stop2703, stop53, stop587, stop2411, stop1306"
route125,Tomnaya,1,"stop52, stop2704, stop2301, stop1365, stop317, stop1768, stop767, stop2597, stop2655, stop2297, stop2172, stop469, stop440, stop1602, stop616, stop337, stop2279, stop856, stop1305, stop2410, stop586, stop52, stop2704, stop2301, stop1365, stop317, stop1768, stop767, stop2597, stop2655, stop2297, stop2172, stop469, stop440, stop1602, stop616, stop337, stop2279, stop856, stop1598"
