start_node,end_node,distance,route_id,route_short_name
stop450,stop686,198.8098522,route2392,walking
stop450,stop687,238.962561,route2393,walking
stop451,stop159,340.2964742,route2395,walking
stop451,stop160,370.5683895,route2396,walking
stop451,stop452,35.94229046,route2397,walking
stop452,stop159,308.0096727,route2398,walking
stop452,stop160,337.1434978,route2399,walking
stop452,stop451,35.94229046,route2400,walking
stop453,stop1846,208.1898235,route2402,walking
stop453,stop1847,146.4984201,route2403,walking
stop453,stop454,28.30626663,route2401,walking
stop454,stop1846,221.8288051,route2405,walking
stop454,stop1847,160.0926242,route2406,walking
stop454,stop453,28.30626663,route2404,walking
stop456,stop1484,374.0922353,route2411,walking
stop456,stop1485,356.2367475,route2412,walking
stop456,stop1752,266.6224589,route2413,walking
stop456,stop2804,330.648693,route2414,walking
stop456,stop636,223.7568238,route2407,walking
stop456,stop637,237.3243801,route2408,walking
stop456,stop666,238.862795,route2409,walking
stop456,stop667,185.6787192,route2410,walking
stop457,stop1723,376.9755457,route2418,walking
stop457,stop2789,15.3085915,route2419,walking
stop457,stop343,355.2469333,route2415,walking
stop457,stop458,16.44219579,route2416,walking
stop457,stop459,32.56559519,route2417,walking
stop458,stop1723,368.2117675,route2423,walking
stop458,stop2789,26.57345265,route2424,walking
stop458,stop343,346.2004252,route2420,walking
stop458,stop457,16.44219579,route2421,walking
stop458,stop459,33.88233231,route2422,walking
stop459,stop1723,347.3392719,route2428,walking
stop459,stop2789,21.50956886,route2429,walking
stop459,stop343,325.9357082,route2425,walking
stop459,stop457,32.56559519,route2426,walking
stop459,stop458,33.88233231,route2427,walking
stop46,stop47,159.5767784,route1025,walking
stop46,stop48,28.84321131,route1026,walking
stop460,stop461,7.583531782,route2430,walking
stop460,stop465,365.8775134,route2431,walking
stop461,stop460,7.583531782,route2432,walking
stop461,stop465,358.3090635,route2433,walking
stop462,stop463,8.315223019,route2434,walking
stop463,stop462,8.315223019,route2435,walking
stop465,stop2501,216.1413941,route2438,walking
stop465,stop460,365.8775134,route2436,walking
stop465,stop461,358.3090635,route2437,walking
stop466,stop1435,389.4889766,route2440,walking
stop466,stop1436,378.8807251,route2441,walking
