start_node,end_node,distance,route_id
stop128,stop125,119.07582923231556,walking
stop129,stop132,132.2707614728597,walking
stop130,stop131,344.90825313961375,walking
stop131,stop130,344.90825313961375,walking
stop131,stop133,190.42316737982364,walking
stop132,stop129,132.2707614728597,walking
stop132,stop2756,281.9380849041222,walking
stop133,stop131,190.42316737982364,walking
stop134,stop135,33.38190674613374,walking
stop135,stop134,33.38190674613374,walking
stop136,stop137,88.24094408324729,walking
stop137,stop136,88.24094408324729,walking
stop138,stop139,43.11942204183558,walking
stop138,stop140,195.24778384808192,walking
stop139,stop138,43.11942204183558,walking
stop139,stop140,211.80350574083238,walking
stop140,stop138,195.24778384808192,walking
stop140,stop139,211.80350574083238,walking
stop141,stop928,265.27779318436,walking
stop141,stop929,270.64069283256265,walking
stop145,stop146,40.26151938167432,walking
stop146,stop145,40.26151938167432,walking
stop147,stop148,96.95827777949539,walking
stop148,stop147,96.95827777949539,walking
stop149,stop150,39.75175591643491,walking
stop150,stop149,39.75175591643491,walking
stop155,stop156,54.688323530923284,walking
stop156,stop155,54.688323530923284,walking
stop159,stop160,159.30813388029915,walking
stop160,stop159,159.30813388029915,walking
stop161,stop1669,359.4312289663172,walking
stop161,stop1670,344.9890190596798,walking
stop162,stop163,77.7550089208119,walking
stop163,stop162,77.7550089208119,walking
stop164,stop165,50.414285570359546,walking
stop165,stop164,50.414285570359546,walking
stop166,stop167,50.89333302312856,walking
stop167,stop166,50.89333302312856,walking
stop168,stop169,260.7842151930922,walking
stop169,stop168,260.7842151930922,walking
stop170,stop171,114.88838720035392,walking
stop171,stop170,114.88838720035392,walking
stop172,stop173,138.58589614210223,walking
stop173,stop172,138.58589614210223,walking
stop175,stop176,44.917012967653,walking
stop176,stop175,44.917012967653,walking
stop177,stop178,60.67492212664097,walking
stop178,stop177,60.67492212664097,walking
stop180,stop181,83.00486892570203,walking
stop181,stop180,83.00486892570203,walking
stop184,stop185,92.1370651080895,walking
stop185,stop184,92.1370651080895,walking
stop186,stop187,133.14432782207388,walking
stop187,stop186,133.14432782207388,walking
stop188,stop189,262.9828941375429,walking
stop189,stop188,262.9828941375429,walking
stop190,stop191,45.24385112937432,walking
stop191,stop190,45.24385112937432,walking
stop192,stop193,266.8707581582418,walking
stop192,stop194,284.3275813806472,walking
stop193,stop192,266.8707581582418,walking
stop193,stop194,195.64932657575477,walking
stop194,stop192,284.3275813806472,walking
stop194,stop193,195.64932657575477,walking
stop195,stop196,77.15583300844781,walking
stop196,stop195,77.15583300844781,walking
stop198,stop199,311.71986028058024,walking
stop198,stop200,342.58058559968373,walking
stop198,stop201,394.00088928534274,walking
stop198,stop202,339.00858781615284,walking
stop199,stop198,311.71986028058024,walking
stop200,stop198,342.58058559968373,walking
stop200,stop201,230.025014797455,walking
stop200,stop202,183.93069933640714,walking
stop201,stop198,394.00088928534274,walking
stop201,stop200,230.025014797455,walking
stop201,stop202,61.24137202214583,walking
stop202,stop198,339.00858781615284,walking
stop202,stop200,183.93069933640714,walking
stop202,stop201,61.24137202214583,walking
stop205,stop206,81.84233397070813,walking
stop206,stop205,81.84233397070813,walking
stop207,stop2752,395.52925729785994,walking
stop208,stop2752,42.19669871869024,walking
stop211,stop212,114.63633997434778,walking
stop211,stop2296,149.6286655050061,walking
stop212,stop211,114.63633997434778,walking
stop212,stop2296,165.64700865638383,walking
stop215,stop216,31.796598161375748,walking
stop216,stop215,31.796598161375748,walking
stop217,stop218,73.04563608101294,walking
stop218,stop217,73.04563608101294,walking
stop219,stop1926,108.84204199996849,walking
stop221,stop222,93.68091732636279,walking
stop222,stop221,93.68091732636279,walking
stop223,stop224,44.59201371764539,walking
stop223,stop2771,142.1454760407349,walking
stop224,stop223,44.59201371764539,walking
stop224,stop2771,167.7262347759834,walking
stop225,stop2741,233.12853204407983,walking
stop226,stop227,104.81957275146722,walking
stop227,stop226,104.81957275146722,walking
stop228,stop229,58.53623370381795,walking
stop229,stop228,58.53623370381795,walking
stop230,stop231,119.18448015780015,walking
stop231,stop230,119.18448015780015,walking
stop232,stop233,126.88648712996236,walking
stop233,stop232,126.88648712996236,walking
stop235,stop236,64.51164484660946,walking
stop236,stop235,64.51164484660946,walking
stop237,stop238,63.91362373743557,walking
stop238,stop237,63.91362373743557,walking
stop239,stop240,378.5253163567062,walking
stop239,stop241,177.26313889208467,walking
stop240,stop239,378.5253163567062,walking
stop240,stop241,298.5611333710342,walking
stop241,stop239,177.26313889208467,walking
stop241,stop240,298.5611333710342,walking
stop242,stop243,30.898884919727635,walking
stop243,stop242,30.898884919727635,walking
stop244,stop245,232.97652613350039,walking
stop245,stop244,232.97652613350039,walking
stop246,stop247,69.50615157173173,walking
stop247,stop246,69.50615157173173,walking
stop248,stop249,85.514334454978,walking
stop249,stop248,85.514334454978,walking
stop251,stop252,75.74376646776396,walking
stop252,stop251,75.74376646776396,walking
stop253,stop254,76.06886915128699,walking
